model,resample,cv_score,cv_score_mean,cv_score_median,cv_score_std,cv_score_cv
SVM(linear),over sample,[0.46511121 0.37241287 0.49541428 0.45194746 0.44239901],0.4454569672308481,0.4519474628501714,0.040666792638015536,10.953825918752996
SVM(linear),SMOTE,[0.49350647 0.42683947 0.46502708 0.42290341 0.44140572],0.4499364337497683,0.441405722839176,0.026317685549456307,17.096352675247445
RF,raw ratio,[0.68295185 0.5144596  0.60103029 0.61500249 0.53597312],0.5898834720933531,0.6010302879270385,0.060020039380444715,9.828108714729444
RF,over sample,[0.59711062 0.4943721  0.53064646 0.66635833 0.47688302],0.5530741056087163,0.5306464568028214,0.0700378983883112,7.896783289274428
RF,SMOTE,[0.59010825 0.46115843 0.47648459 0.56898104 0.51895179],0.5231368221851771,0.5189517933841281,0.05024367040959972,10.411994544196853
XGBoost,raw ratio,[0.5863425  0.51089466 0.55923882 0.60293861 0.53489199],0.5588613151331914,0.559238822587668,0.03338710664641118,16.73883637332988
XGBoost,over sample,[0.60683357 0.54599919 0.56326715 0.61295757 0.55852108],0.5775157114217075,0.5632671532438343,0.027102657559955466,21.308453244636592
XGBoost,SMOTE,[0.58590548 0.51728802 0.52506317 0.52513232 0.54093161],0.538864119371416,0.5251323189481084,0.024745588774698905,21.776168846803795
LightGBM,raw ratio,[0.62246337 0.50690119 0.57452451 0.60528014 0.51243143],0.5643201295562923,0.5745245105919111,0.04722681496936009,11.949146473722886
LightGBM,over sample,[0.58860991 0.53624094 0.57389906 0.57705333 0.55097606],0.5653558603654407,0.5738990628410627,0.019000132512012328,29.755364074856296
LightGBM,SMOTE,[0.57041486 0.51452225 0.57223761 0.52180284 0.46748211],0.5292919340597032,0.521802839284381,0.039064332549607894,13.549237872874292
navie bayes,under sample,[0.34988799 0.29951569 0.43128055 0.43288486 0.38278416],0.3792706508195135,0.3827841578354561,0.05062815948453248,7.491298413393544
navie bayes,EasyEnsemble,[0.36639144 0.34322151 0.43984744 0.54843127 0.44697312],0.4289729574677622,0.4398474420696825,0.07208648493274367,5.950809751203598
KNN,under sample,[0.36449425 0.34242467 0.33958846 0.31251395 0.29018515],0.32984129449285565,0.3395884571959035,0.025795435542261765,12.786808501545266
KNN,EasyEnsemble,[0.43450624 0.44711764 0.41069255 0.48570469 0.46767114],0.44913845597238833,0.44711764315753594,0.025987777716921272,17.282680376319494
logreg,under sample,[0.5203033  0.35231015 0.46743788 0.39125916 0.43648697],0.43355949046341263,0.43648696743485665,0.05843214423974216,7.419879864147285
logreg,EasyEnsemble,[0.46427238 0.44996628 0.50292746 0.5301223  0.44083366],0.47762441695232294,0.4642723832444906,0.03374338468452002,14.15460901204247
logreg l1,under sample,[0.50542054 0.41068042 0.48051137 0.45823126 0.43573691],0.45811610168933425,0.4582312569888029,0.033136818035086814,13.82498769810244
logreg l1,EasyEnsemble,[0.52770437 0.47403331 0.48234091 0.54599461 0.4573822 ],0.4974910793930379,0.48234091361593107,0.033627227193767296,14.794293818113148
logreg l2,under sample,[0.50110259 0.4111629  0.46606378 0.4255558  0.46677752],0.4541325172348826,0.46606378255715963,0.03216039583856679,14.120862178266052
logreg l2,EasyEnsemble,[0.51052993 0.46807343 0.48306082 0.53362147 0.4597575 ],0.49100863154209773,0.4830608249798861,0.02743267987981739,17.89867536431757
logreg elasticnet,under sample,[0.50288783 0.41132752 0.4784099  0.44277484 0.45716238],0.4585124973684819,0.45716238487124955,0.031115897479524656,14.735634659749058
logreg elasticnet,EasyEnsemble,[0.51195959 0.46838922 0.47996646 0.54203237 0.46209895],0.4928893189470346,0.4799664630031803,0.029980046838700855,16.440578682177712
SVM(rbf),under sample,[0.52991226 0.36005781 0.46868119 0.46943659 0.43565464],0.45274849835309344,0.4686811946620548,0.05544430313196271,8.165825391934478
SVM(rbf),EasyEnsemble,[0.53485324 0.40085822 0.48439221 0.51137207 0.44899816],0.4760947792815702,0.48439221034544316,0.0472454378510085,10.077052958699745
SVM(linear),under sample,[0.529124   0.36107629 0.5191696  0.42471271 0.43589983],0.45399648464684883,0.43589983030716306,0.06278673366811185,7.230770867085648
SVM(linear),EasyEnsemble,[0.49773795 0.45071857 0.48777471 0.5100856  0.43876418],0.47701620153919516,0.48777470884836116,0.02754452450193438,17.318004582206367
RF,under sample,[0.57050159 0.46007264 0.52364066 0.56762776 0.50261647],0.5248918238566773,0.5236406632155626,0.041487093106116174,12.651930626089007
RF,EasyEnsemble,[0.61714124 0.49701749 0.5338805  0.638757   0.50415726],0.5581906974426092,0.5338804972755804,0.05868365179432756,9.511860294566137
XGBoost,under sample,[0.57050007 0.48234345 0.53967964 0.60459804 0.49547125],0.538518489343737,0.5396796416457182,0.04560564954663987,11.808153040184337
XGBoost,EasyEnsemble,[0.64206938 0.54584989 0.58164014 0.63183756 0.5515492 ],0.5905892332213256,0.5816401396122278,0.039893482017865536,14.804153544602636
LightGBM,under sample,[0.54420437 0.46727516 0.55782111 0.60005186 0.49854615],0.533579730546086,0.5442043735549887,0.046352388004616725,11.511375217452468
LightGBM,EasyEnsemble,[0.64929453 0.53984891 0.59383973 0.66039007 0.56209107],0.6010928642580807,0.5938397319596234,0.047252786761054266,12.72079184022859
navie bayes,class weight,[0.36289491 0.36480478 0.45569914 0.52484498 0.39867201],0.42138316347955723,0.39867200850808765,0.061676120562540536,6.8321930698003
KNN,class weight,[0.30311174 0.27809355 0.27945971 0.32157076 0.35109084],0.3066653204872415,0.3031117355530102,0.0274405453785997,11.175627752879988
logreg,class weight,[0.50597401 0.45057977 0.49938407 0.46489749 0.4299912 ],0.4701653088206397,0.4648974941822758,0.028848921418189698,16.29750041622676
logreg l1,class weight,[0.52091767 0.46012651 0.4860765  0.47705853 0.43363825],0.47556349235192474,0.47705853325045683,0.02886446250404357,16.475743911230076
logreg l2,class weight,[0.51733615 0.4559662  0.50318592 0.48133899 0.43038708],0.47764286578823717,0.4813389874985146,0.03144726611253717,15.188692844679874
logreg elasticnet,class weight,[0.51845239 0.4591225  0.49451566 0.47680483 0.43417894],0.47661486523024116,0.4768048309717912,0.028905513096313628,16.488718385387344
SVM(rbf),class weight,[0.58445613 0.42001443 0.47228142 0.40818769 0.38062271],0.4531124763932855,0.4200144278739065,0.07209311617927652,6.2851004424127614
SVM(linear),class weight,[0.4934219  0.40103611 0.45599331 0.43384947 0.43028995],0.44291815047323446,0.43384947140896213,0.03071613900764511,14.419720862800956
RF,class weight,[0.58520586 0.47153179 0.52384211 0.61476504 0.51352871],0.541774699612745,0.5238421064911689,0.05151181520489461,10.517484143351759
XGBoost,class weight,[0.57622691 0.51612687 0.55635619 0.60411058 0.51971989],0.5545080864784161,0.5563561850943002,0.033522726775280974,16.541258418372454
LightGBM,class weight,[0.61385619 0.50376621 0.60669966 0.61204995 0.54810889],0.5768961800892242,0.6066996642883326,0.04396994025875357,13.1202402526434
